"","State","CD","HRCper","DJTper"
"142","17","12",0.4,0.6
"143","17","13",0.4,0.6
"144","17","14",0,0
"145","17","15",0.5,0.5
"146","17","16",0.4,0.6
"147","17","17",0.5,0.5
"148","17","18",0.4,0.6
"149","18","01",0.3,0.7
"150","18","02",0.3,0.7
"151","18","03",0.8,0.2
"152","18","04",0,0
"153","18","05",0.7,0.3
"154","18","06",0.5,0.5
"155","18","07",0.7,0.3
"156","18","08",0.2,0.8
"157","18","09",0.2,0.8
"158","19","01",0.8,0.2
"159","19","02",0.7,0.3
"160","19","03",0.3,0.7
"161","19","04",0,0
"162","20","01",0.3,0.7
"163","20","02",0.4,0.6
"164","20","03",0.6,0.4
"165","20","04",0.5,0.5
"166","21","01",0.1,0.9
"167","21","02",0.6,0.4
"168","21","03",0.8,0.2
"169","21","04",0.3,0.7
"170","21","05",0.3,0.7
"171","21","06",0.5,0.5
"172","22","01",0.3,0.7
"173","22","02",0.5,0.5
"174","22","03",0,0
"175","22","04",0.5,0.5
"176","22","05",0,0
"177","22","06",0.5,0.5
"178","23","01",0.2,0.8
"179","23","02",0.3,0.7
"180","24","01",0.4,0.6
"181","24","02",0.7,0.3
"182","24","03",0.8,0.2
"183","24","04",0.5,0.5
"184","24","05",0.6,0.4
"185","24","06",0.7,0.3
"186","24","07",0.7,0.3
"187","24","08",0.5,0.5
"188","25","01",0.6,0.4
"189","25","02",0.4,0.6
"190","25","03",0,0
"191","25","04",0,0
"192","25","05",0,0
"193","25","06",0.7,0.3
"194","25","07",0.9,0.1
"195","25","08",0.6,0.4
"196","25","09",0.8,0.2
"197","26","01",0.4,0.6
"198","26","02",0.5,0.5
"199","26","03",0.6,0.4
"200","26","04",0.7,0.3
"201","26","05",0.6,0.4
"202","26","06",0.5,0.5
"203","26","07",0.8,0.2
"204","26","08",0.3,0.7
"205","26","09",0.8,0.2
"206","26","10",0.3,0.7
"207","26","11",0.2,0.8
"208","26","12",0.8,0.2
"209","26","13",0.8,0.2
"210","26","14",0.8,0.2
"211","27","01",0.3,0.7
"212","27","02",0.2,0.8
"213","27","03",0.6,0.4
"214","27","04",0.5,0.5
"215","27","05",0.8,0.2
"216","27","06",0.4,0.6
"217","27","07",0.6,0.4
"218","27","08",0.8,0.2
"219","28","01",0,0
"220","28","02",0.8,0.2
"221","28","03",0.5,0.5
"222","28","04",0.7,0.3
"223","29","01",0,0
"224","29","02",0.9,0.1
"225","29","03",0,0
"226","29","04",0.2,0.8
"227","29","05",0.5,0.5
"228","29","06",0.5,0.5
"229","29","07",0.2,0.8
"230","30","00",0.2,0.8
"231","31","01",0.7,0.3
"232","31","02",0,0
"233","31","03",0.4,0.6
"234","32","01",0.8,0.2
"235","32","02",0.5,0.5
"236","32","03",0.3,0.7
"237","32","04",0.6,0.4
"238","33","01",0.6,0.4
"239","33","02",0,0
"240","34","01",0.8,0.2
"241","34","02",0.7,0.3
"242","34","03",0.5,0.5
"243","34","04",0.8,0.2
"244","34","05",0.7,0.3
"245","34","06",0.5,0.5
"246","34","07",0.5,0.5
"247","34","08",0.7,0.3
"248","34","09",0,0
"249","34","10",0,0
"250","34","11",0.5,0.5
"251","34","12",0.8,0.2
"252","35","01",0.4,0.6
"253","35","02",0,0
"254","35","03",0.7,0.3
"255","36","01",0,0
"256","36","02",0.5,0.5
"257","36","03",0,0
"258","36","04",0,0
"259","36","05",0,0
"260","36","06",0.7,0.3
"261","36","07",0,0
"262","36","08",0,0
"263","36","09",0,0
"264","36","10",0.5,0.5
"265","36","11",0.6,0.4
"266","36","12",0,0
"267","36","13",0,0
"268","36","14",0,0
"269","36","16",0.7,0.3
"270","36","17",0.4,0.6
"271","36","18",0.8,0.2
"272","36","19",0.8,0.2
"273","36","20",0.5,0.5
"274","36","21",0.5,0.5
"275","36","22",0,0
"276","36","23",0.5,0.5
"277","36","24",0.6,0.4
"278","36","25",0,0
"279","36","26",0.6,0.4
"280","36","27",0,0
"281","37","01",0.7,0.3
"282","37","02",0,0
"283","37","03",0.6,0.4
"284","37","04",0.8,0.2
"285","37","05",0.5,0.5
"286","37","06",0.4,0.6
"287","37","07",0.4,0.6
"288","37","08",0.5,0.5
"289","37","09",0.5,0.5
"290","37","10",0.3,0.7
"291","37","11",0.3,0.7
"292","37","12",0,0
"293","37","13",0.8,0.2
"294","38","00",0.3,0.7
"295","39","01",0.4,0.6
"296","39","02",0.6,0.4
"297","39","03",0.5,0.5
"298","39","04",0.5,0.5
"299","39","05",0.7,0.3
"300","39","06",0.1,0.9
"301","39","07",0.6,0.4
"302","39","08",0.8,0.2
"303","39","09",0.8,0.2
"304","39","10",0.8,0.2
"305","39","11",0,0
"306","39","12",0.3,0.7
"307","39","13",0.7,0.3
"308","39","14",0.4,0.6
"309","39","15",0.5,0.5
"310","39","16",0.2,0.8
"311","40","01",0,0
"312","40","02",0.5,0.5
"313","40","03",0,0
"314","40","04",0.2,0.8
"315","40","05",0.5,0.5
"316","41","01",0.7,0.3
"317","41","02",0,0
"318","41","03",0.9,0.1
"319","41","04",0.9,0.1
"320","41","05",0.8,0.2
"321","42","01",0.7,0.3
"322","42","02",0.9,0.1
"323","42","03",0.5,0.5
"324","42","04",0,0
"325","42","05",0.8,0.2
"326","42","06",0.8,0.2
"327","42","07",0.6,0.4
"328","42","08",0.5,0.5
"329","42","09",0.7,0.3
"330","42","10",0.2,0.8
"331","42","11",0.4,0.6
"332","42","12",0.4,0.6
"333","42","13",0,0
"334","42","14",0.2,0.8
"335","42","15",0.4,0.6
"336","42","16",0.3,0.7
"337","42","17",0.8,0.2
"338","42","18",0.5,0.5
"339","44","01",0.4,0.6
"340","44","02",0,0
"341","45","01",0.7,0.3
"342","45","02",0.6,0.4
"343","45","03",0.7,0.3
"344","45","04",0,0
"345","45","05",0.5,0.5
"346","45","06",0.6,0.4
"347","45","07",0.5,0.5
"348","46","00",0,0
"349","47","01",0.2,0.8
"350","47","02",0.6,0.4
"351","47","03",0.5,0.5
"352","47","04",0.2,0.8
"353","47","05",0.4,0.6
"354","47","06",0,0
"355","47","07",0.2,0.8
"356","47","08",0,0
"357","47","09",0.7,0.3
"358","48","01",0.2,0.8
"359","48","02",0.3,0.7
"360","48","03",0.3,0.7
"361","48","04",0.5,0.5
"362","48","05",0.8,0.2
"363","48","06",0,0
"364","48","07",0.6,0.4
"365","48","08",0,0
"366","48","09",0,0
"367","48","10",0.4,0.6
"368","48","11",0,0
"369","48","12",0.5,0.5
"370","48","14",0.6,0.4
"371","48","15",0.7,0.3
"372","48","16",0.6,0.4
"373","48","17",0.4,0.6
"374","48","18",0,0
"375","48","19",0.3,0.7
"376","48","20",0,0
"377","48","21",0.2,0.8
"378","48","22",0,0
"379","48","23",0,0
"380","48","24",0.4,0.6
"381","48","25",0.3,0.7
"382","48","26",0.6,0.4
"383","48","27",0.7,0.3
"384","48","28",0.7,0.3
"385","48","29",0,0
"386","48","30",0.8,0.2
"387","48","31",0.5,0.5
"388","48","32",0.5,0.5
"389","48","33",0,0
"390","48","34",0,0
"391","48","35",0.7,0.3
"392","48","36",0.2,0.8
"393","49","01",0,0
"394","49","02",0.2,0.8
"395","49","03",0.5,0.5
"396","49","04",0.5,0.5
"397","50","01",0.9,0.1
"398","51","01",0,0
"399","51","02",0.3,0.7
"400","51","03",0.5,0.5
"401","51","04",0.7,0.3
"402","51","05",0.5,0.5
"403","51","06",0.2,0.8
"404","51","07",0,0
"405","51","08",0.9,0.1
"406","51","09",0.5,0.5
"407","51","10",0.1,0.9
"408","51","11",0.8,0.2
"409","53","01",0,0
"410","53","02",0,0
"411","53","03",0.5,0.5
"412","53","04",0.3,0.7
"413","53","05",0.5,0.5
"414","53","06",0.8,0.2
"415","53","07",0,0
"416","53","08",0.5,0.5
"417","53","09",0.8,0.2
"418","53","10",0.7,0.3
"419","54","01",0.3,0.7
"420","54","02",0,0
"421","54","03",0.2,0.8
"422","55","01",0.2,0.8
"423","55","02",0.8,0.2
"424","55","03",0.7,0.3
"425","55","04",0,0
"426","55","05",0.5,0.5
"427","55","06",0.5,0.5
"428","55","07",0.7,0.3
"429","55","08",0.6,0.4
"430","56","00",0.5,0.5
